INSTANCE_NUMBER, SNAP_ID, BEGIN_TIME, PLAN_NAME, CONSUMER_GROUP, MGMT_P1, PARALLEL_TARGET_PERCENTAGE, PARALLEL_DEGREE_LIMIT_P1, MAX_UTILIZATION_LIMIT
2, 125790, 10/11/2018 01:00:26, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125790, 10/11/2018 01:00:26, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125791, 10/11/2018 01:20:02, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125791, 10/11/2018 01:20:02, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125791, 10/11/2018 01:20:02, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125791, 10/11/2018 01:20:02, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125791, 10/11/2018 01:20:02, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125791, 10/11/2018 01:20:02, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125792, 10/11/2018 01:40:12, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125792, 10/11/2018 01:40:12, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125792, 10/11/2018 01:40:12, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125792, 10/11/2018 01:40:12, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125792, 10/11/2018 01:40:12, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125792, 10/11/2018 01:40:12, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125793, 10/11/2018 02:00:17, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125793, 10/11/2018 02:00:17, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125793, 10/11/2018 02:00:17, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125793, 10/11/2018 02:00:17, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125793, 10/11/2018 02:00:17, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125793, 10/11/2018 02:00:17, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125794, 10/11/2018 02:20:23, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125794, 10/11/2018 02:20:23, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125794, 10/11/2018 02:20:23, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125794, 10/11/2018 02:20:23, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125794, 10/11/2018 02:20:23, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125794, 10/11/2018 02:20:23, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125795, 10/11/2018 02:40:02, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125795, 10/11/2018 02:40:02, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125795, 10/11/2018 02:40:02, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125795, 10/11/2018 02:40:02, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125795, 10/11/2018 02:40:02, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125795, 10/11/2018 02:40:02, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125796, 10/11/2018 03:00:01, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125796, 10/11/2018 03:00:01, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125796, 10/11/2018 03:00:01, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125796, 10/11/2018 03:00:01, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125796, 10/11/2018 03:00:01, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125796, 10/11/2018 03:00:01, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125797, 10/11/2018 03:20:14, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125797, 10/11/2018 03:20:14, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125797, 10/11/2018 03:20:14, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125797, 10/11/2018 03:20:14, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125797, 10/11/2018 03:20:14, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125797, 10/11/2018 03:20:14, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125798, 10/11/2018 03:40:22, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125798, 10/11/2018 03:40:22, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125798, 10/11/2018 03:40:22, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125798, 10/11/2018 03:40:22, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125798, 10/11/2018 03:40:22, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125798, 10/11/2018 03:40:22, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125799, 10/11/2018 04:00:03, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125799, 10/11/2018 04:00:03, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125799, 10/11/2018 04:00:03, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125799, 10/11/2018 04:00:03, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125799, 10/11/2018 04:00:03, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125799, 10/11/2018 04:00:03, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125800, 10/11/2018 04:20:04, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125800, 10/11/2018 04:20:04, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125800, 10/11/2018 04:20:04, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125800, 10/11/2018 04:20:04, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125800, 10/11/2018 04:20:04, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125800, 10/11/2018 04:20:04, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125801, 10/11/2018 04:40:10, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125801, 10/11/2018 04:40:10, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125801, 10/11/2018 04:40:10, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125801, 10/11/2018 04:40:10, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125801, 10/11/2018 04:40:10, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125801, 10/11/2018 04:40:10, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125802, 10/11/2018 05:00:16, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125802, 10/11/2018 05:00:16, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125802, 10/11/2018 05:00:16, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125802, 10/11/2018 05:00:16, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125802, 10/11/2018 05:00:16, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125802, 10/11/2018 05:00:16, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125803, 10/11/2018 05:20:12, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125803, 10/11/2018 05:20:12, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125803, 10/11/2018 05:20:12, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125803, 10/11/2018 05:20:12, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125803, 10/11/2018 05:20:12, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125803, 10/11/2018 05:20:12, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125804, 10/11/2018 05:40:05, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125804, 10/11/2018 05:40:05, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125804, 10/11/2018 05:40:05, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125804, 10/11/2018 05:40:05, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125804, 10/11/2018 05:40:05, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125804, 10/11/2018 05:40:05, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125805, 10/11/2018 06:00:08, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125805, 10/11/2018 06:00:08, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125805, 10/11/2018 06:00:08, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125805, 10/11/2018 06:00:08, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125805, 10/11/2018 06:00:08, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125805, 10/11/2018 06:00:08, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125806, 10/11/2018 06:20:11, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125806, 10/11/2018 06:20:11, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125806, 10/11/2018 06:20:11, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125806, 10/11/2018 06:20:11, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125806, 10/11/2018 06:20:11, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125806, 10/11/2018 06:20:11, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125807, 10/11/2018 06:40:20, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125807, 10/11/2018 06:40:20, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125807, 10/11/2018 06:40:20, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125807, 10/11/2018 06:40:20, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125807, 10/11/2018 06:40:20, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125807, 10/11/2018 06:40:20, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125808, 10/11/2018 07:00:08, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125808, 10/11/2018 07:00:08, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125808, 10/11/2018 07:00:08, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125808, 10/11/2018 07:00:08, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125808, 10/11/2018 07:00:08, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125808, 10/11/2018 07:00:08, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125809, 10/11/2018 07:20:08, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125809, 10/11/2018 07:20:08, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125809, 10/11/2018 07:20:08, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125809, 10/11/2018 07:20:08, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125809, 10/11/2018 07:20:08, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125809, 10/11/2018 07:20:08, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125810, 10/11/2018 07:40:27, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125810, 10/11/2018 07:40:27, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125810, 10/11/2018 07:40:27, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125810, 10/11/2018 07:40:27, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125810, 10/11/2018 07:40:27, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125810, 10/11/2018 07:40:27, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125811, 10/11/2018 08:00:45, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125811, 10/11/2018 08:00:45, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125811, 10/11/2018 08:00:45, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125811, 10/11/2018 08:00:45, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125811, 10/11/2018 08:00:45, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125811, 10/11/2018 08:00:45, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125812, 10/11/2018 08:20:02, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125812, 10/11/2018 08:20:02, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125812, 10/11/2018 08:20:02, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125812, 10/11/2018 08:20:02, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125812, 10/11/2018 08:20:02, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125812, 10/11/2018 08:20:02, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125813, 10/11/2018 08:40:08, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125813, 10/11/2018 08:40:08, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125813, 10/11/2018 08:40:08, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125813, 10/11/2018 08:40:08, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125813, 10/11/2018 08:40:08, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125813, 10/11/2018 08:40:08, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125814, 10/11/2018 09:00:02, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125814, 10/11/2018 09:00:02, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125814, 10/11/2018 09:00:02, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125814, 10/11/2018 09:00:02, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125814, 10/11/2018 09:00:02, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125814, 10/11/2018 09:00:02, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125815, 10/11/2018 09:20:06, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125815, 10/11/2018 09:20:06, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125815, 10/11/2018 09:20:06, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125815, 10/11/2018 09:20:06, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125815, 10/11/2018 09:20:06, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125815, 10/11/2018 09:20:06, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125816, 10/11/2018 09:40:07, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125816, 10/11/2018 09:40:07, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125816, 10/11/2018 09:40:07, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125816, 10/11/2018 09:40:07, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125816, 10/11/2018 09:40:07, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125816, 10/11/2018 09:40:07, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125817, 10/11/2018 10:00:20, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125817, 10/11/2018 10:00:20, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125817, 10/11/2018 10:00:20, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125817, 10/11/2018 10:00:20, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125817, 10/11/2018 10:00:20, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125817, 10/11/2018 10:00:20, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125818, 10/11/2018 10:20:30, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125818, 10/11/2018 10:20:30, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125818, 10/11/2018 10:20:30, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125818, 10/11/2018 10:20:30, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125818, 10/11/2018 10:20:30, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125818, 10/11/2018 10:20:30, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125819, 10/11/2018 10:40:11, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125819, 10/11/2018 10:40:11, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125819, 10/11/2018 10:40:11, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125819, 10/11/2018 10:40:11, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125819, 10/11/2018 10:40:11, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125819, 10/11/2018 10:40:11, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125820, 10/11/2018 11:00:32, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125820, 10/11/2018 11:00:32, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125820, 10/11/2018 11:00:32, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125820, 10/11/2018 11:00:32, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125820, 10/11/2018 11:00:32, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125820, 10/11/2018 11:00:32, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125821, 10/11/2018 11:20:07, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125821, 10/11/2018 11:20:07, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125821, 10/11/2018 11:20:07, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125821, 10/11/2018 11:20:07, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125821, 10/11/2018 11:20:07, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125821, 10/11/2018 11:20:07, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125822, 10/11/2018 11:40:07, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125822, 10/11/2018 11:40:07, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125822, 10/11/2018 11:40:07, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125822, 10/11/2018 11:40:07, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125822, 10/11/2018 11:40:07, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125822, 10/11/2018 11:40:07, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125823, 10/11/2018 12:00:05, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125823, 10/11/2018 12:00:05, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125823, 10/11/2018 12:00:05, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125823, 10/11/2018 12:00:05, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125823, 10/11/2018 12:00:05, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125823, 10/11/2018 12:00:05, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125824, 10/11/2018 12:20:13, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125824, 10/11/2018 12:20:13, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125824, 10/11/2018 12:20:13, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125824, 10/11/2018 12:20:13, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125824, 10/11/2018 12:20:13, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125824, 10/11/2018 12:20:13, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125825, 10/11/2018 12:40:05, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125825, 10/11/2018 12:40:05, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125825, 10/11/2018 12:40:05, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125825, 10/11/2018 12:40:05, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125825, 10/11/2018 12:40:05, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125825, 10/11/2018 12:40:05, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125826, 10/11/2018 13:00:09, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125826, 10/11/2018 13:00:09, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125826, 10/11/2018 13:00:09, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125826, 10/11/2018 13:00:09, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125826, 10/11/2018 13:00:09, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125826, 10/11/2018 13:00:09, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125827, 10/11/2018 13:20:01, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
2, 125827, 10/11/2018 13:20:01, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 20, 16, 20
2, 125827, 10/11/2018 13:20:01, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 12, 8, 12
2, 125827, 10/11/2018 13:20:01, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 125827, 10/11/2018 13:20:01, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 5, 5, 16, 5
2, 125827, 10/11/2018 13:20:01, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 125828, 10/11/2018 13:40:05, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 48, 50, 16, 55
