INSTANCE_NUMBER, SNAP_ID, BEGIN_TIME, PLAN_NAME, CONSUMER_GROUP, MGMT_P1, PARALLEL_TARGET_PERCENTAGE, PARALLEL_DEGREE_LIMIT_P1, MAX_UTILIZATION_LIMIT
2, 131158, 27/01/2019 03:40:08, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131159, 27/01/2019 04:00:18, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131159, 27/01/2019 04:00:18, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131159, 27/01/2019 04:00:18, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131159, 27/01/2019 04:00:18, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131159, 27/01/2019 04:00:18, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131159, 27/01/2019 04:00:18, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131160, 27/01/2019 04:20:23, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131160, 27/01/2019 04:20:23, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131160, 27/01/2019 04:20:23, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131160, 27/01/2019 04:20:23, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131160, 27/01/2019 04:20:23, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131160, 27/01/2019 04:20:23, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131161, 27/01/2019 04:40:12, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131161, 27/01/2019 04:40:12, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131161, 27/01/2019 04:40:12, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131161, 27/01/2019 04:40:12, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131161, 27/01/2019 04:40:12, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131161, 27/01/2019 04:40:12, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131162, 27/01/2019 05:00:07, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131162, 27/01/2019 05:00:07, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131162, 27/01/2019 05:00:07, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131162, 27/01/2019 05:00:07, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131162, 27/01/2019 05:00:07, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131162, 27/01/2019 05:00:07, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131163, 27/01/2019 05:20:07, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131163, 27/01/2019 05:20:07, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131163, 27/01/2019 05:20:07, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131163, 27/01/2019 05:20:07, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131163, 27/01/2019 05:20:07, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131163, 27/01/2019 05:20:07, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131164, 27/01/2019 05:40:22, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131164, 27/01/2019 05:40:22, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131164, 27/01/2019 05:40:22, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131164, 27/01/2019 05:40:22, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131164, 27/01/2019 05:40:22, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131164, 27/01/2019 05:40:22, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131165, 27/01/2019 06:00:19, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131165, 27/01/2019 06:00:19, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131165, 27/01/2019 06:00:19, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131165, 27/01/2019 06:00:19, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131165, 27/01/2019 06:00:19, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131165, 27/01/2019 06:00:19, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131166, 27/01/2019 06:20:42, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131166, 27/01/2019 06:20:42, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131166, 27/01/2019 06:20:42, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131166, 27/01/2019 06:20:42, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131166, 27/01/2019 06:20:42, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131166, 27/01/2019 06:20:42, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131167, 27/01/2019 06:40:02, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131167, 27/01/2019 06:40:02, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131167, 27/01/2019 06:40:02, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131167, 27/01/2019 06:40:02, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131167, 27/01/2019 06:40:02, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131167, 27/01/2019 06:40:02, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131168, 27/01/2019 07:00:14, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131168, 27/01/2019 07:00:14, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131168, 27/01/2019 07:00:14, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131168, 27/01/2019 07:00:14, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131169, 27/01/2019 07:20:06, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131169, 27/01/2019 07:20:06, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131169, 27/01/2019 07:20:06, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131169, 27/01/2019 07:20:06, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131170, 27/01/2019 07:40:13, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131170, 27/01/2019 07:40:13, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131170, 27/01/2019 07:40:13, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131170, 27/01/2019 07:40:13, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131171, 27/01/2019 08:00:09, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131171, 27/01/2019 08:00:09, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131171, 27/01/2019 08:00:09, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131171, 27/01/2019 08:00:09, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131172, 27/01/2019 08:20:17, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131172, 27/01/2019 08:20:17, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131172, 27/01/2019 08:20:17, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131172, 27/01/2019 08:20:17, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131173, 27/01/2019 08:40:29, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131173, 27/01/2019 08:40:29, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131173, 27/01/2019 08:40:29, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131173, 27/01/2019 08:40:29, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131174, 27/01/2019 09:00:22, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131174, 27/01/2019 09:00:22, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131174, 27/01/2019 09:00:22, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131174, 27/01/2019 09:00:22, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131175, 27/01/2019 09:20:06, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131175, 27/01/2019 09:20:06, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131175, 27/01/2019 09:20:06, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131175, 27/01/2019 09:20:06, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131176, 27/01/2019 09:40:02, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131176, 27/01/2019 09:40:02, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131176, 27/01/2019 09:40:02, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131176, 27/01/2019 09:40:02, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131177, 27/01/2019 10:00:05, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131177, 27/01/2019 10:00:05, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131177, 27/01/2019 10:00:05, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131177, 27/01/2019 10:00:05, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131178, 27/01/2019 10:20:23, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131178, 27/01/2019 10:20:23, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131178, 27/01/2019 10:20:23, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131178, 27/01/2019 10:20:23, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131179, 27/01/2019 10:40:32, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131179, 27/01/2019 10:40:32, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131179, 27/01/2019 10:40:32, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131179, 27/01/2019 10:40:32, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131180, 27/01/2019 11:00:21, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131180, 27/01/2019 11:00:21, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131180, 27/01/2019 11:00:21, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131180, 27/01/2019 11:00:21, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131181, 27/01/2019 11:20:01, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131181, 27/01/2019 11:20:01, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131181, 27/01/2019 11:20:01, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131181, 27/01/2019 11:20:01, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131182, 27/01/2019 11:40:06, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131182, 27/01/2019 11:40:06, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131182, 27/01/2019 11:40:06, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131182, 27/01/2019 11:40:06, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131183, 27/01/2019 12:00:09, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131183, 27/01/2019 12:00:09, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131183, 27/01/2019 12:00:09, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131183, 27/01/2019 12:00:09, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131184, 27/01/2019 12:20:02, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131184, 27/01/2019 12:20:02, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131184, 27/01/2019 12:20:02, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131184, 27/01/2019 12:20:02, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131185, 27/01/2019 12:40:04, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131185, 27/01/2019 12:40:04, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131185, 27/01/2019 12:40:04, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131185, 27/01/2019 12:40:04, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131186, 27/01/2019 13:00:12, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131186, 27/01/2019 13:00:12, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131186, 27/01/2019 13:00:12, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131186, 27/01/2019 13:00:12, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131187, 27/01/2019 13:20:10, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131187, 27/01/2019 13:20:10, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131187, 27/01/2019 13:20:10, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131187, 27/01/2019 13:20:10, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131188, 27/01/2019 13:40:18, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131188, 27/01/2019 13:40:18, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131188, 27/01/2019 13:40:18, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131188, 27/01/2019 13:40:18, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131189, 27/01/2019 14:00:04, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131189, 27/01/2019 14:00:04, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131189, 27/01/2019 14:00:04, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131189, 27/01/2019 14:00:04, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131190, 27/01/2019 14:20:18, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131190, 27/01/2019 14:20:18, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131190, 27/01/2019 14:20:18, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131190, 27/01/2019 14:20:18, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131191, 27/01/2019 14:40:38, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131191, 27/01/2019 14:40:38, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131191, 27/01/2019 14:40:38, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131191, 27/01/2019 14:40:38, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131192, 27/01/2019 15:00:42, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131192, 27/01/2019 15:00:42, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131192, 27/01/2019 15:00:42, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131192, 27/01/2019 15:00:42, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131193, 27/01/2019 15:20:05, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131193, 27/01/2019 15:20:05, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131193, 27/01/2019 15:20:05, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131193, 27/01/2019 15:20:05, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131194, 27/01/2019 15:40:13, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131194, 27/01/2019 15:40:13, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131194, 27/01/2019 15:40:13, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131194, 27/01/2019 15:40:13, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131195, 27/01/2019 16:00:22, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131195, 27/01/2019 16:00:22, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131195, 27/01/2019 16:00:22, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131195, 27/01/2019 16:00:22, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131196, 27/01/2019 16:20:04, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131196, 27/01/2019 16:20:04, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131196, 27/01/2019 16:20:04, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131196, 27/01/2019 16:20:04, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131197, 27/01/2019 16:40:01, DEFAULT_MAINTENANCE_PLAN, ORA$AUTOTASK_SUB_PLAN, 0, None, None, 90
2, 131197, 27/01/2019 16:40:01, DEFAULT_MAINTENANCE_PLAN, ORA$DIAGNOSTICS, 0, None, None, 90
2, 131197, 27/01/2019 16:40:01, DEFAULT_MAINTENANCE_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131197, 27/01/2019 16:40:01, DEFAULT_MAINTENANCE_PLAN, SYS_GROUP, 75, None, None, None
2, 131198, 27/01/2019 17:00:06, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131198, 27/01/2019 17:00:06, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131198, 27/01/2019 17:00:06, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131198, 27/01/2019 17:00:06, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131198, 27/01/2019 17:00:06, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131198, 27/01/2019 17:00:06, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131199, 27/01/2019 17:20:02, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131199, 27/01/2019 17:20:02, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131199, 27/01/2019 17:20:02, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131199, 27/01/2019 17:20:02, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131199, 27/01/2019 17:20:02, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131199, 27/01/2019 17:20:02, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131200, 27/01/2019 17:40:13, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131200, 27/01/2019 17:40:13, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131200, 27/01/2019 17:40:13, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131200, 27/01/2019 17:40:13, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131200, 27/01/2019 17:40:13, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131200, 27/01/2019 17:40:13, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131201, 27/01/2019 18:00:29, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131201, 27/01/2019 18:00:29, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131201, 27/01/2019 18:00:29, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131201, 27/01/2019 18:00:29, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131201, 27/01/2019 18:00:29, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131201, 27/01/2019 18:00:29, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131202, 27/01/2019 18:20:07, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131202, 27/01/2019 18:20:07, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131202, 27/01/2019 18:20:07, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131202, 27/01/2019 18:20:07, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131202, 27/01/2019 18:20:07, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131202, 27/01/2019 18:20:07, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131203, 27/01/2019 18:40:03, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131203, 27/01/2019 18:40:03, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131203, 27/01/2019 18:40:03, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131203, 27/01/2019 18:40:03, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131203, 27/01/2019 18:40:03, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131203, 27/01/2019 18:40:03, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131204, 27/01/2019 19:00:19, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131204, 27/01/2019 19:00:19, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
2, 131204, 27/01/2019 19:00:19, ADW_UNLOAD_PLAN, HDP_UNLOAD_GROUP, 8, 5, 8, 10
2, 131204, 27/01/2019 19:00:19, ADW_UNLOAD_PLAN, ODS2EXA_GROUP, 10, 5, 16, 25
2, 131204, 27/01/2019 19:00:19, ADW_UNLOAD_PLAN, ODS_SUPPORT_GROUP, 25, 3, 32, 33
2, 131204, 27/01/2019 19:00:19, ADW_UNLOAD_PLAN, OTHER_GROUPS, 0, None, None, None
2, 131205, 27/01/2019 19:20:34, ADW_UNLOAD_PLAN, ADW_UNLOAD_GROUP, 25, 20, 16, 33
2, 131205, 27/01/2019 19:20:34, ADW_UNLOAD_PLAN, FP_DM_PRIOR, 20, 12, 16, 20
